operrator,operate_in
SNCB,Belgium
NS,Netherlands
SNCF,France
Ouigo,France
OBB,Austria
DB,Germany
GWR,UK
Avanti West Coast,UK
CD,Czech
CFR,Romania
SBB,Switzerland
Trenitalia,Italy
Italo,Italy
VR,Finland
Eurostar,United Kingdom
Eurostar,France
Eurostar,Netherlands
CP,Portugal
DSB,Denmark
PKP,Poland
Flixtrain,Germany
Hellenic trains,Greece
SJ,Sweden
ZSSK,Slovaquia
RegioJet,Czech Republic
RegioJet,Austria
RegioJet,Slovakia
Snalltaget,Sweden
Snalltaget,Denmark
Snalltaget,Germany
BDZ,Bulgaria
MAV,Hungary
Renfe,Spain
