operator,operating_country,depature,arrival,route,depart_time,arrive_time,duration_min,distance_km,speed_km_per_hour, price_eur ,intercity_or_international, price_per_km 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,6:10:00 AM,8:25:00 AM,135,300.225,133.4333333, $186.44 ,Intercity, $0.62 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,6:29:00 AM,8:45:00 AM,136,300.225,132.4522059, $168.74 ,Intercity, $0.56 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,6:46:00 AM,9:05:00 AM,139,300.225,129.5935252, $168.74 ,Intercity, $0.56 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,7:13:00 AM,9:19:00 AM,126,300.225,142.9642857, $186.44 ,Intercity, $0.62 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,7:33:00 AM,9:44:00 AM,131,300.225,137.5076336, $168.74 ,Intercity, $0.56 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,7:53:00 AM,10:05:00 AM,132,300.225,136.4659091, $168.74 ,Intercity, $0.56 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,8:13:00 AM,10:19:00 AM,126,300.225,142.9642857, $186.44 ,Intercity, $0.62 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,8:33:00 AM,10:44:00 AM,131,300.225,137.5076336, $186.44 ,Intercity, $0.62 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,8:53:00 AM,11:05:00 AM,132,300.225,136.4659091, $156.94 ,Intercity, $0.52 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,9:13:00 AM,11:19:00 AM,126,300.225,142.9642857, $51.33 ,Intercity, $0.17 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,9:33:00 AM,11:44:00 AM,131,300.225,137.5076336, $90.03 ,Intercity, $0.30 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,9:53:00 AM,12:05:00 PM,132,300.225,136.4659091, $56.05 ,Intercity, $0.19 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,10:13:00 AM,12:19:00 PM,126,300.225,142.9642857, $53.69 ,Intercity, $0.18 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,10:33:00 AM,12:44:00 PM,131,300.225,137.5076336, $53.69 ,Intercity, $0.18 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,10:53:00 AM,1:05:00 PM,132,300.225,136.4659091, $48.97 ,Intercity, $0.16 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,11:13:00 AM,1:19:00 PM,126,300.225,142.9642857, $48.97 ,Intercity, $0.16 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,11:33:00 AM,1:44:00 PM,131,300.225,137.5076336, $48.97 ,Intercity, $0.16 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,11:53:00 AM,2:05:00 PM,132,300.225,136.4659091, $46.61 ,Intercity, $0.16 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,12:13:00 PM,2:19:00 PM,126,300.225,142.9642857, $48.97 ,Intercity, $0.16 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,12:33:00 PM,2:44:00 PM,131,300.225,137.5076336, $46.61 ,Intercity, $0.16 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,12:53:00 PM,3:05:00 PM,132,300.225,136.4659091, $48.97 ,Intercity, $0.16 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,1:13:00 PM,3:19:00 PM,126,300.225,142.9642857, $48.97 ,Intercity, $0.16 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,1:33:00 PM,3:44:00 PM,131,300.225,137.5076336, $48.97 ,Intercity, $0.16 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,1:53:00 PM,4:05:00 PM,132,300.225,136.4659091, $48.97 ,Intercity, $0.16 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,2:13:00 PM,4:19:00 PM,126,300.225,142.9642857, $51.33 ,Intercity, $0.17 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,4:13:00 PM,6:19:00 PM,126,300.225,142.9642857, $186.44 ,Intercity, $0.62 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,4:33:00 PM,6:44:00 PM,131,300.225,137.5076336, $198.24 ,Intercity, $0.66 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,4:53:00 PM,7:05:00 PM,132,300.225,136.4659091, $186.44 ,Intercity, $0.62 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,5:13:00 PM,7:19:00 PM,126,300.225,142.9642857, $198.24 ,Intercity, $0.66 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,5:33:00 PM,7:44:00 PM,131,300.225,137.5076336, $186.44 ,Intercity, $0.62 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,5:53:00 PM,8:05:00 PM,132,300.225,136.4659091, $198.24 ,Intercity, $0.66 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,6:13:00 PM,8:19:00 PM,126,300.225,142.9642857, $186.44 ,Intercity, $0.62 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,6:33:00 PM,8:44:00 PM,131,300.225,137.5076336, $156.94 ,Intercity, $0.52 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,6:53:00 PM,9:05:00 PM,132,300.225,136.4659091, $90.03 ,Intercity, $0.30 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,7:13:00 PM,9:19:00 PM,126,300.225,142.9642857, $56.05 ,Intercity, $0.19 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,7:33:00 PM,9:44:00 PM,131,300.225,137.5076336, $48.97 ,Intercity, $0.16 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,7:53:00 PM,10:05:00 PM,132,300.225,136.4659091, $46.61 ,Intercity, $0.16 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,8:13:00 PM,10:45:00 PM,152,300.225,118.5098684, $46.61 ,Intercity, $0.16 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,8:53:00 PM,11:07:00 PM,134,300.225,134.4291045, $46.61 ,Intercity, $0.16 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,9:39:00 PM,11:48:00 PM,129,300.225,139.6395349, $46.61 ,Intercity, $0.16 
Avanti West Coast,United Kingdom,London,Manchester,London-Manchester,10:03:00 PM,12:39:00 AM,156,300.225,115.4711538, $46.61 ,Intercity, $0.16 
Avanti West Coast,United Kingdom,London,Liverpool,London-Liverpool,6:36:00 AM,9:04:00 AM,148,316.387,128.265, $160.48 ,Intercity, $0.51 
Avanti West Coast,United Kingdom,London,Liverpool,London-Liverpool,7:43:00 AM,10:04:00 AM,141,316.387,134.632766, $166.38 ,Intercity, $0.53 
