country,eletrified_rail_length,non-eletrified_rail_length,MIO_PKM
Austria,4119,1458,14019
Belgium,3195,434,245
Bulgaria,3001,1024,1592
Switzerland,5309,9,20754
Czech,3277,6237,9996
Germany,21222,17469,101408
Denmark,831,1617,6031
Estonia,140,1031,408
Greece,738,1084,673
Spain,10715.629,5365.901,34632
Finland,3424,2490,5199
France,16802,10815,101316
Croatia,1013,1604,1142
Hungary,3368,4069,5435
Ireland,53,1992,2235
Italy,12205,4627,54791
Lithuania,152.4,1771.9,392
Luxembourg,262,9,505
Latvia,250.9,1580,612
North Macedonia,234,449,32
Netherlands,2267,774,394.65
Norway,2509,1394,3513
Poland,12205,7334,25605
Portugal,1791.174,735.879,4829
Romania,4032,6579,5978
Sweden,8189,2717,13308
Slovenia,605,603,742
Slovakia,1585,2046,3543
Turkey,6454,4963,6245
United Kingdom,6239,10194,16200
